Section,Table/Figure,Title,Period,Country,Age_group,Breakdown/Measure,Data_type,Value,Value_Denominator,Value_Numerator
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: Least deprived,Odds ratio - Upper 95% confidence interval,1,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: Unknown,Odds ratio - Upper 95% confidence interval,0.75,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Asian,Odds ratio - Upper 95% confidence interval,1.26,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Black,Odds ratio - Upper 95% confidence interval,1.22,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Mixed,Odds ratio - Upper 95% confidence interval,1.3,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: White,Odds ratio - Upper 95% confidence interval,1,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Other,Odds ratio - Upper 95% confidence interval,1.31,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Not known/Not stated,Odds ratio - Upper 95% confidence interval,1.03,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: Less than 2 years,Odds ratio - Upper 95% confidence interval,1,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: 2 - 9 years,Odds ratio - Upper 95% confidence interval,0.61,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: 10 years and over,Odds ratio - Upper 95% confidence interval,0.32,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: Unknown,Odds ratio - Upper 95% confidence interval,1.03,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Underweight,Odds ratio - Upper 95% confidence interval,1.05,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Healthy weight,Odds ratio - Upper 95% confidence interval,1,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Overweight,Odds ratio - Upper 95% confidence interval,1.05,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Obese,Odds ratio - Upper 95% confidence interval,0.93,,
Care processes and treatment targets,Figure 13,Characteristics associated with a HbA1c value <= 58 mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Unknown/missing,Odds ratio - Upper 95% confidence interval,0.92,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Sex: Male,Odds ratio,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Sex: Female,Odds ratio,0.66,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: Most deprived,Odds ratio,1.33,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: 2nd most deprived,Odds ratio,1.22,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: 3rd most deprived,Odds ratio,1.15,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: 2nd least deprived,Odds ratio,1.03,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: Least deprived,Odds ratio,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: Unknown,Odds ratio,1.05,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Asian,Odds ratio,0.75,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Black,Odds ratio,1.23,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Mixed,Odds ratio,1.06,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: White,Odds ratio,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Other,Odds ratio,0.81,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Not known/Not stated,Odds ratio,1.04,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: Less than 2 years,Odds ratio,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: 2 - 9 years,Odds ratio,1.48,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: 10 years and over,Odds ratio,2.36,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: Unknown,Odds ratio,1.54,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Underweight,Odds ratio,1.5,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Healthy weight,Odds ratio,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Overweight,Odds ratio,0.84,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Obese,Odds ratio,0.84,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Unknown/missing,Odds ratio,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Sex: Male,Odds ratio - Lower 95% confidence interval,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Sex: Female,Odds ratio - Lower 95% confidence interval,0.64,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: Most deprived,Odds ratio - Lower 95% confidence interval,1.25,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: 2nd most deprived,Odds ratio - Lower 95% confidence interval,1.14,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: 3rd most deprived,Odds ratio - Lower 95% confidence interval,1.07,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: 2nd least deprived,Odds ratio - Lower 95% confidence interval,0.96,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: Least deprived,Odds ratio - Lower 95% confidence interval,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: Unknown,Odds ratio - Lower 95% confidence interval,0.91,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Asian,Odds ratio - Lower 95% confidence interval,0.72,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Black,Odds ratio - Lower 95% confidence interval,1.16,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Mixed,Odds ratio - Lower 95% confidence interval,0.95,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: White,Odds ratio - Lower 95% confidence interval,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Other,Odds ratio - Lower 95% confidence interval,0.72,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Not known/Not stated,Odds ratio - Lower 95% confidence interval,0.98,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: Less than 2 years,Odds ratio - Lower 95% confidence interval,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: 2 - 9 years,Odds ratio - Lower 95% confidence interval,1.43,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: 10 years and over,Odds ratio - Lower 95% confidence interval,2.25,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: Unknown,Odds ratio - Lower 95% confidence interval,1.08,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Underweight,Odds ratio - Lower 95% confidence interval,1.17,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Healthy weight,Odds ratio - Lower 95% confidence interval,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Overweight,Odds ratio - Lower 95% confidence interval,0.77,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Obese,Odds ratio - Lower 95% confidence interval,0.78,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Unknown/missing,Odds ratio - Lower 95% confidence interval,0.93,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Sex: Male,Odds ratio - Upper 95% confidence interval,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Sex: Female,Odds ratio - Upper 95% confidence interval,0.68,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: Most deprived,Odds ratio - Upper 95% confidence interval,1.41,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: 2nd most deprived,Odds ratio - Upper 95% confidence interval,1.3,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: 3rd most deprived,Odds ratio - Upper 95% confidence interval,1.23,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: 2nd least deprived,Odds ratio - Upper 95% confidence interval,1.11,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: Least deprived,Odds ratio - Upper 95% confidence interval,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Deprivation: Unknown,Odds ratio - Upper 95% confidence interval,1.21,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Asian,Odds ratio - Upper 95% confidence interval,0.78,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Black,Odds ratio - Upper 95% confidence interval,1.31,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Mixed,Odds ratio - Upper 95% confidence interval,1.17,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: White,Odds ratio - Upper 95% confidence interval,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Other,Odds ratio - Upper 95% confidence interval,0.9,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Ethnicity: Not known/Not stated,Odds ratio - Upper 95% confidence interval,1.11,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: Less than 2 years,Odds ratio - Upper 95% confidence interval,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: 2 - 9 years,Odds ratio - Upper 95% confidence interval,1.53,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: 10 years and over,Odds ratio - Upper 95% confidence interval,2.48,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,Diabetes duration: Unknown,Odds ratio - Upper 95% confidence interval,2.13,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Underweight,Odds ratio - Upper 95% confidence interval,1.92,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Healthy weight,Odds ratio - Upper 95% confidence interval,1,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Overweight,Odds ratio - Upper 95% confidence interval,0.9,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Obese,Odds ratio - Upper 95% confidence interval,0.9,,
Care processes and treatment targets,Figure 14,Characteristics associated with a HbA1c value > 86mmol/mol in young people with type 2 diabetes,2021-22,England and Wales,0-39,BMI: Unknown/missing,Odds ratio - Upper 95% confidence interval,1.08,,
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,<12,Female - Not prescribed antihypertensive treatment,Percentage,100,105,105
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,<12,Female - Prescribed antihypertensive treatment,Percentage,4.8,105,5
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,<12,Female - Total,Percentage,100,105,105
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales, 12-15,Female - Not prescribed antihypertensive treatment,Percentage,95.1,410,390
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales, 12-15,Female - Prescribed antihypertensive treatment,Percentage,4.9,410,20
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales, 12-15,Female - Total,Percentage,100,410,410
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,16-18,Female - Not prescribed antihypertensive treatment,Percentage,90.2,715,645
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,16-18,Female - Prescribed antihypertensive treatment,Percentage,9.1,715,65
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,16-18,Female - Total,Percentage,100,715,715
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,19-25,Female - Not prescribed antihypertensive treatment,Percentage,84.4,5980,5050
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,19-25,Female - Prescribed antihypertensive treatment,Percentage,15.6,5980,935
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,19-25,Female - Total,Percentage,100,5980,5980
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,26-39,Female - Not prescribed antihypertensive treatment,Percentage,73,64815,47340
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,26-39,Female - Prescribed antihypertensive treatment,Percentage,27,64815,17475
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,26-39,Female - Total,Percentage,100,64815,64815
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,40-59,Female - Not prescribed antihypertensive treatment,Percentage,43.8,431270,188770
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,40-59,Female - Prescribed antihypertensive treatment,Percentage,56.2,431270,242500
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,40-59,Female - Total,Percentage,100,431270,431270
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,60-79,Female - Not prescribed antihypertensive treatment,Percentage,21.6,739720,159880
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,60-79,Female - Prescribed antihypertensive treatment,Percentage,78.4,739720,579835
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,60-79,Female - Total,Percentage,100,739720,739720
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,<12,Male - Not prescribed antihypertensive treatment,Percentage,88.9,45,40
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,<12,Male - Prescribed antihypertensive treatment,Percentage,11.1,45,5
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,<12,Male - Total,Percentage,100,45,45
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales, 12-15,Male - Not prescribed antihypertensive treatment,Percentage,92.7,275,255
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales, 12-15,Male - Prescribed antihypertensive treatment,Percentage,7.3,275,20
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales, 12-15,Male - Total,Percentage,100,275,275
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,16-18,Male - Not prescribed antihypertensive treatment,Percentage,89.9,445,400
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,16-18,Male - Prescribed antihypertensive treatment,Percentage,10.1,445,45
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,16-18,Male - Total,Percentage,100,445,445
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,19-25,Male - Not prescribed antihypertensive treatment,Percentage,84.4,3780,3190
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,19-25,Male - Prescribed antihypertensive treatment,Percentage,15.5,3780,585
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,19-25,Male - Total,Percentage,100,3780,3780
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,26-39,Male - Not prescribed antihypertensive treatment,Percentage,69,62650,43200
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,26-39,Male - Prescribed antihypertensive treatment,Percentage,31,62650,19450
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,26-39,Male - Total,Percentage,100,62650,62650
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,40-59,Male - Not prescribed antihypertensive treatment,Percentage,41.1,606075,249335
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,40-59,Male - Prescribed antihypertensive treatment,Percentage,58.9,606075,356740
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,40-59,Male - Total,Percentage,100,606075,606075
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,60-79,Male - Not prescribed antihypertensive treatment,Percentage,19.7,992210,195270
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,60-79,Male - Prescribed antihypertensive treatment,Percentage,80.3,992210,796940
Antihypertensive treatment and statins,Figure 15,Percentage of people with type 2 diabetes by age group prescription of antihypertensive treatment and sex,2021-22,England and Wales,60-79,Male - Total,Percentage,100,992210,992210
Antihypertensive treatment and statins,Figure 16,Percentage of people with type 2 diabetes by age group prescription of statins and sex,2021-22,England and Wales,<12,Female - Not prescribed statins,Percentage,100,105,105
Antihypertensive treatment and statins,Figure 16,Percentage of people with type 2 diabetes by age group prescription of statins and sex,2021-22,England and Wales,<12,Female - Prescribed statins,Percentage,0,105,0
Antihypertensive treatment and statins,Figure 16,Percentage of people with type 2 diabetes by age group prescription of statins and sex,2021-22,England and Wales,<12,Female - Total,Percentage,100,105,105
Antihypertensive treatment and statins,Figure 16,Percentage of people with type 2 diabetes by age group prescription of statins and sex,2021-22,England and Wales, 12-15,Female - Not prescribed statins,Percentage,100,410,410
Antihypertensive treatment and statins,Figure 16,Percentage of people with type 2 diabetes by age group prescription of statins and sex,2021-22,England and Wales, 12-15,Female - Prescribed statins,Percentage,1.2,410,5
Antihypertensive treatment and statins,Figure 16,Percentage of people with type 2 diabetes by age group prescription of statins and sex,2021-22,England and Wales, 12-15,Female - Total,Percentage,100,410,410
Antihypertensive treatment and statins,Figure 16,Percentage of people with type 2 diabetes by age group prescription of statins and sex,2021-22,England and Wales,16-18,Female - Not prescribed statins,Percentage,97.9,715,700
Antihypertensive treatment and statins,Figure 16,Percentage of people with type 2 diabetes by age group prescription of statins and sex,2021-22,England and Wales,16-18,Female - Prescribed statins,Percentage,1.4,715,10
Antihypertensive treatment and statins,Figure 16,Percentage of people with type 2 diabetes by age group prescription of statins and sex,2021-22,England and Wales,16-18,Female - Total,Percentage,100,715,715
Antihypertensive treatment and statins,Figure 16,Percentage of people with type 2 diabetes by age group prescription of statins and sex,2021-22,England and Wales,19-25,Female - Not prescribed statins,Percentage,93.6,5980,5595
Antihypertensive treatment and statins,Figure 16,Percentage of people with type 2 diabetes by age group prescription of statins and sex,2021-22,England and Wales,19-25,Female - Prescribed statins,Percentage,6.4,5980,385
Antihypertensive treatment and statins,Figure 16,Percentage of people with type 2 diabetes by age group prescription of statins and sex,2021-22,England and Wales,19-25,Female - Total,Percentage,100,5980,5980
